,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Afghanistan,AFG,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
1,Albania,ALB,7887.99987792969,7868.49975585938,7849.00024414063,7829.50012207031,7810.0,7790.49987792969,7770.99975585938,7751.50024414063,7732.00012207031,7712.5,7692.99987792969,7719.19982910156,7745.39978027344,7771.59973144531,7797.80029296875,7824.00024414063,7811.79992675781,7799.60021972656,7787.39990234375,7775.2001953125,7762.99987792969,7753.40026855469,7743.80004882813,7734.19982910156,7724.60021972656,7715.0,7705.39978027344
2,Algeria,DZA,16670.0,16581.9995117188,16494.0002441406,16405.9997558594,16318.0004882813,16230.0,16141.9995117188,16054.0002441406,15965.9997558594,15878.0004882813,15790.0,15704.0002441406,15618.0004882813,15531.9995117188,15445.9997558594,15360.0,16124.0002441406,16888.0004882813,17651.9995117188,18415.9997558594,19180.0,19255.9997558594,19331.9995117188,19408.0004882813,19484.0002441406,19560.0,19635.9997558594
3,American Samoa,ASM,183.899993896484,183.500003814697,183.199996948242,182.900009155273,182.5,182.199993133545,181.900005340576,181.499996185303,181.200008392334,180.799999237061,180.499992370605,180.200004577637,179.799995422363,179.500007629395,179.099998474121,178.799991607666,178.500003814697,178.099994659424,177.800006866455,177.5,177.099990844727,176.800003051758,176.399993896484,176.100006103516,175.799999237061,175.400009155273,175.0
4,Andorra,AND,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
5,Angola,AGO,609760.0,608511.9921875,607263.984375,606016.015625,604768.0078125,603520.0,602271.9921875,601023.984375,599776.015625,598528.0078125,597280.0,596031.9921875,594783.984375,593536.015625,592288.0078125,591040.0,589791.9921875,588543.984375,587296.015625,586048.0078125,584800.0,583551.9921875,582303.984375,581056.015625,579808.0078125,578560.0,577311.9921875
6,Antigua and Barbuda,ATG,103.000001907349,102.700004577637,102.399997711182,102.10000038147,101.800003051758,101.499996185303,101.199998855591,100.900001525879,100.600004196167,100.299997329712,100.0,99.6000003814697,99.2000007629395,98.8000011444092,98.4000015258789,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486,98.0000019073486
7,Argentina,ARG,347930.0,344996.9921875,342063.984375,339131.015625,336198.0078125,333265.0,330331.9921875,327399.00390625,324465.99609375,321533.0078125,318600.0,315251.9921875,311904.00390625,308555.99609375,305208.0078125,301860.0,298680.0,295500.0,292320.0,289140.0,285960.0,282991.9921875,280024.00390625,277055.99609375,274088.0078125,271120.0,268151.9921875
8,Armenia,ARM,3350.0,3346.0,3346.00006103516,3343.99993896484,3342.00012207031,3340.0,3337.99987792969,3336.00006103516,3333.99993896484,3332.00012207031,3330.0,3327.99987792969,3326.00006103516,3323.99993896484,3322.00012207031,3320.0,3317.99987792969,3316.00006103516,3313.99993896484,3312.00012207031,3310.0,3312.00012207031,3313.99993896484,3316.00006103516,3317.99987792969,3320.0,3322.00012207031
9,Aruba,ABW,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978,4.19999986886978
